t_monotonic,t_wall,gpu_name,power_W,util_pct,memory_MiB,error
3837.590159162,1777948397.8708394,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3837.817180041,1777948398.09786,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3838.045165029,1777948398.325845,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3838.273609381,1777948398.5542893,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3838.501482413,1777948398.7821627,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3838.728608065,1777948399.0092883,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3838.957080383,1777948399.2377605,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3839.184679982,1777948399.4653604,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3839.411618983,1777948399.6922994,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3839.639286671,1777948399.9199667,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3839.866409477,1777948400.1470897,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3840.093578745,1777948400.3742588,NVIDIA A100-SXM4-40GB,51.74,3.0,30772.0,
3840.32370275,1777948400.604383,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3840.55177219,1777948400.8324523,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3840.778682101,1777948401.0593624,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3841.006484895,1777948401.2871652,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3841.234159789,1777948401.51484,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3841.463120243,1777948401.7438006,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3841.691132415,1777948401.9718127,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3841.918381088,1777948402.1990612,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3842.145349771,1777948402.4260302,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3842.374205655,1777948402.6548858,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3842.601294298,1777948402.8819745,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3842.828104553,1777948403.108785,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3843.055540867,1777948403.3362212,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3843.282769417,1777948403.5634494,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3843.510042932,1777948403.790723,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3843.737038547,1777948404.0177188,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3843.96413163,1777948404.2448118,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3844.190964932,1777948404.4716449,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3844.418370465,1777948404.6990504,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3844.646308578,1777948404.9269886,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
